"problem_id","initDifficulty","num","wrong_num","skill_id","skill_name"
"83","0.5","4","2","63","Estimation"
"84","1","4","4","79","Proportion"
"85","0.8","5","4","48","Equivalent Fractions"
"86","0.5","10","5","48","Equivalent Fractions"
"249","1","1","1","63","Estimation"
"250","1","1","1","79","Proportion"
"251","1","1","1","48","Equivalent Fractions"
"252","0.4","5","2","48","Equivalent Fractions"
"807","0.875","8","7","70","Percent Of"
"808","1","7","7","70","Percent Of"
"809","0.75","8","6","70","Percent Of"
"810","0.8888888888888888","9","8","70","Percent Of"
"847","0.6666666666666666","3","2","77","Finding Percents"
"848","1","3","3","77","Finding Percents"
"849","0.75","4","3","77","Finding Percents"
"1080","0.25","12","3","70","Percent Of"
"1081","1","6","6","77","Finding Percents"
"1082","1","6","6","77","Finding Percents"
"1083","0.8","5","4","77","Finding Percents"
"1084","0.6","5","3","77","Finding Percents"
"1085","0.8571428571428571","7","6","77","Finding Percents"
"1251","0.5","2","1","77","Finding Percents"
"1252","0.5","2","1","77","Finding Percents"
"1253","1","2","2","77","Finding Percents"
"1254","0.2","10","2","77","Finding Percents"
"2214","1","5","5","77","Finding Percents"
"2215","0.8","5","4","77","Finding Percents"
"2216","0.6","5","3","77","Finding Percents"
"2217","0.4","5","2","77","Finding Percents"
"2218","0.625","8","5","77","Finding Percents"
"4013","0.5","2","1","63","Estimation"
"4014","1","2","2","47","Conversion of Fraction Decimals Percents"
"4015","0.6666666666666666","3","2","47","Conversion of Fraction Decimals Percents"
"8462","0.3939393939393939","33","13","61","Division Fractions"
"8463","0.06896551724137931","29","2","61","Division Fractions"
"12470","0.6","5","3","217","Rate"
"12813","0.7777777777777778","9","7","204","Percents"
"12865","0.8888888888888888","9","8","217","Rate"
"12949","0.9166666666666666","12","11","217","Rate"
"12978","1","4","4","204","Percents"
"12981","1","12","12","204","Percents"
"13080","1","7","7","204","Percents"
"13130","0.5","12","6","217","Rate"
"13152","0.38461538461538464","13","5","204","Percents"
"13249","0.25","12","3","204","Percents"
"13297","0.25","12","3","217","Rate"
"13305","0.7272727272727273","11","8","217","Rate"
"13409","0.45454545454545453","11","5","204","Percents"
"13432","0.5555555555555556","9","5","203","Percent Discount"
"13513","0.7","10","7","217","Rate"
"14443","0.8333333333333334","12","10","203","Percent Discount"
"14449","0.625","8","5","203","Percent Discount"
"14454","1","8","8","203","Percent Discount"
"14468","0.8","10","8","203","Percent Discount"
"14560","1","1","1","217","Rate"
"14602","0.7272727272727273","11","8","204","Percents"
"14749","0.7","10","7","204","Percents"
"15142","0.5454545454545454","11","6","217","Rate"
"22062","0.5","8","4","217","Rate"
"22756","0.5","4","2","204","Percents"
"31460","0.375","8","3","204","Percents"
"32558","1","8","8","204","Percents"
"35857","0.875","8","7","204","Percents"
"42492","0.25","8","2","280","Addition and Subtraction Fractions"
"43199","0.1935483870967742","31","6","27","Pythagorean Theorem"
