"skill_id","skill_name","initDifficulty"
"1","Box and Whisker","0.2635272945583875"
"2","Circle Graph","0.44345126597052237"
"4","Histogram as Table or Graph","0.26985422355249267"
"5","Number Line","0.4184897609472678"
"8","Scatter Plot","0.13924199131595452"
"9","Stem and Leaf Plot","0.31905658860809893"
"10","Table","0.289598533682081"
"11","Venn Diagram","0.2948402911712958"
"12","Mean","0.5822492812377681"
"13","Median","0.4288847670131218"
"15","Range","0.3318012785772967"
"16","Counting Methods","0.35384984836072736"
"17","Probability of Two Distinct Events","0.47120165656394175"
"18","Probability of a Single Event","0.274468335784044"
"21","Interior Angles Figures with More than 3 Sides","0.3992954324586979"
"22","Interior Angles Triangle","0.2053153717627402"
"24","Congruence","0.10540071467953459"
"25","Complementary and Supplementary Angles","0.3014886332488376"
"26","Angles on Parallel Lines Cut by a Transversal","0.21421520398793126"
"27","Pythagorean Theorem","0.36298092989134345"
"32","Nets of 3D Figures","0.02661375661375661"
"34","Unit Conversion Within a System","0.4821775053174195"
"35","Effect of Changing Dimensions of a Shape Prportionally","0.44683609810932445"
"39","Area Circle","0.31248791260419173"
"40","Circumference ","0.3140796585934631"
"42","Perimeter of a Polygon","0.37748835542263703"
"43","Reading a Ruler or Scale","1"
"46","Calculations with Similar Figures","0.23306611903279578"
"47","Conversion of Fraction Decimals Percents","0.2608577419807457"
"48","Equivalent Fractions","0.6749999999999999"
"49","Ordering Positive Decimals","0.19292668725869433"
"50","Ordering Fractions","0.21431972043253933"
"51","Ordering Integers","0.22184020561650267"
"54","Rounding","0.2834575340744332"
"58","Addition Whole Numbers","0.2295754675644447"
"61","Division Fractions","0.29536072294099"
"63","Estimation","0.23076165241002466"
"65","Least Common Multiple","0.3521805138706234"
"67","Multiplication Fractions","0.31269419909652335"
"70","Percent Of","0.39613007118829696"
"74","Subtraction Whole Numbers","0.4381415372545232"
"75","Square Root","0.17942777766184043"
"77","Finding Percents","0.350256509734815"
"79","Proportion","0.3306766172592258"
"80","Scale Factor","0.3137468671679198"
"81","Unit Rate","0.46059793819877565"
"82","Scientific Notation","0.3099317620568323"
"83","Divisibility Rules","0.3588263740909482"
"84","Prime Number","0.22293795093795088"
"85","Absolute Value","0.13736921086075388"
"86","Exponents","0.2242949601650189"
"92","Pattern Finding ","0.46677437031753805"
"110","D.4.8-understanding-concept-of-probabilities","0.12888239021959955"
"163","Absolute Value","0.40750721500721493"
"165","Algebraic Simplification","0.6234848484848485"
"166","Algebraic Solving","0.6370505026019734"
"173","Choose an Equation from Given Information","0.24492753623188404"
"203","Percent Discount","0.7627777777777778"
"204","Percents","0.6957085649393342"
"217","Rate","0.6628282828282828"
"276","Multiplication and Division Positive Decimals","0.1856889478896469"
"277","Addition and Subtraction Integers","0.4128909831580526"
"278","Addition and Subtraction Positive Decimals","0.28907394760178284"
"279","Multiplication and Division Integers","0.2489666702555789"
"280","Addition and Subtraction Fractions","0.4829044225575163"
"290","Reflection","0.6355961744080939"
"292","Rotations","0.8787910783746697"
"293","Translations","0.4970535921193816"
"294","Area Irregular Figure","0.5304388858570588"
"295","Area Parallelogram","0.07183621933621934"
"296","Area Rectangle","0.17782453975961868"
"297","Area Trapezoid","0.2631507361558219"
"298","Area Triangle","0.14295065500947854"
"299","Surface Area Cylinder","0.6929380362284774"
"301","Surface Area Rectangular Prism","0.4301164929817711"
"303","Volume Cylinder","0.44857808850691827"
"307","Volume Rectangular Prism","0.1659679501302105"
"308","Volume Sphere","0.3705143372425473"
"309","Order of Operations +,-,/,* () positive reals","0.4587737425386221"
"310","Order of Operations All","0.39765086469999694"
"311","Equation Solving Two or Fewer Steps","0.29816066598144536"
"312","Equation Solving More Than Two Steps","0.18436809747497043"
"314","Angles - Obtuse, Acute, and Right","0.43923280423280414"
"317","Greatest Common Factor","0.23713005744255744"
"322","Write Linear Equation from Ordered Pairs","0.5478084144030202"
"323","Write Linear Equation from Situation","0.1013664404910535"
"324","Recognize Linear Pattern","0.29166666666666663"
"325","Write Linear Equation from Graph","0.5084585277095859"
"331","Finding Slope From Situation","0.625"
"333","Finding Slope From Equation","0.2893081761006289"
"334","Finding Slope from Ordered Pairs","0.6"
"340","Distributive Property","0.16666666666666666"
"343","Midpoint","0.3833333333333333"
"346","Polynomial Factors","0.3897994987468672"
"348","Recognize Quadratic Pattern","0.42857142857142855"
"350","Solving Systems of Linear Equations","0.8745839016386958"
"356","Quadratic Formula to Solve Quadratic Equation","1"
"362","Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable","0.328125"
"365","Interpreting Coordinate Graphs ","0.48484848484848486"
"368","Solving for a variable","0.3464716837265857"
"371","Simplifying Expressions positive exponents","0.26666666666666666"
"378","Solving Systems of Linear Equations by Graphing","0.33376743626743627"
