"order_id","assignment_id","user_id","assistment_id","problem_id","original","correct","attempt_count","ms_first_response","tutor_mode","answer_type","sequence_id","student_class_id","position","type","base_sequence_id","skill_id","skill_name","teacher_id","school_id","hint_count","hint_total","overlap_time","template_id","answer_id","answer_text","first_action","bottom_hint","opportunity","opportunity_original"
"20872991","262758","79021","32122","49265","1","1","1","99375","tutor","fill_in_1","5924","12351","8","MasterySection","5924","58","Addition Whole Numbers","42999","2770","0","4","99375","30336",,"171","0",,"1","1"
"20873127","262782","79021","50813","89727","1","1","1","5546","tutor","algebra","7012","12351","9","MasterySection","7012","277","Addition and Subtraction Integers","42999","2770","0","3","5546","29882",,"10","0",,"1","1"
"20873149","262779","79021","34441","53866","1","1","1","15516","tutor","fill_in_1","5961","12351","10","MasterySection","5961","277","Addition and Subtraction Integers","42999","2770","0","6","15516","29948",,"17","0",,"2","2"
"20968312","262784","79021","51004","89918","1","1","1","8343","tutor","algebra","7014","12351","11","MasterySection","7014","277","Addition and Subtraction Integers","42999","2770","0","4","8343","29950",,"-11","0",,"3","3"
"20968353","262765","79021","34688","54283","1","1","1","21750","tutor","algebra","5965","12351","12","MasterySection","5965","279","Multiplication and Division Integers","42999","2770","0","0","21750","30016",,"-18","0",,"1","1"
"20968390","262781","79021","51299","90377","1","1","1","5234","tutor","algebra","7025","12351","13","MasterySection","7025","279","Multiplication and Division Integers","42999","2770","0","0","5234","30015",,"-4","0",,"2","2"
"21051958","262783","79021","51108","90124","1","1","1","7597","tutor","algebra","7020","12351","14","MasterySection","7020","279","Multiplication and Division Integers","42999","2770","0","0","7597","29925",,"-4","0",,"3","3"
"21052009","262761","79021","34854","54609","1","1","1","7519","tutor","algebra","5967","12351","15","MasterySection","5967","279","Multiplication and Division Integers","42999","2770","0","0","7519","29926",,"4","0",,"4","4"
"21052034","262756","79021","34568","54023","1","0","1","12730","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","12839","30677",,"0.8","0",,"1","1"
"21052273","262756","79021","34578","54063","1","0","1","21403","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","21497","30677",,"3","0",,"2","2"
"21052482","262756","79021","34587","54099","1","1","1","11149","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","11149","30677",,"6.8","0",,"3","3"
"21052505","262756","79021","34575","54051","1","0","1","7626","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","7719","30677",,"-1.5","0",,"4","4"
"21052622","262756","79021","34574","54047","1","0","1","13459","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","13537","30677",,"-5.5","0",,"5","5"
"21183365","262756","79021","34580","54071","1","0","1","17799","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","17860","30677",,"0.6","0",,"6","6"
"21183627","262756","79021","34569","54027","1","0","1","15657","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","15738","30677",,"3.6","0",,"7","7"
"21183810","262756","79021","34558","53983","1","0","1","20251","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","20315","30677",,"1.3","0",,"8","8"
"21184200","262756","79021","34582","54079","1","0","1","17347","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","17427","30677",,"-3","0",,"9","9"
"21184495","262756","79021","34585","54091","1","1","1","17904","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","17904","30677",,"2.4","0",,"10","10"
"21184586","262756","79021","34560","53991","1","0","1","17598","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","17678","30677",,"-5.5","0",,"11","11"
"21184957","262756","79021","34571","54035","1","0","0","57943","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","57943","30677",,,"2",,"12","12"
"21185791","262756","79021","34573","54043","1","1","1","30556","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","30556","30677",,"7.2","0",,"13","13"
"21300104","262771","79021","34102","53347","1","1","1","9282","tutor","algebra","5956","12351","17","MasterySection","5956","51","Ordering Integers","42999","2770","0","3","9282","29901",,"-10","0",,"1","1"
"21300117","262772","79021","39775","66698","1","1","1","7562","tutor","choose_1","6041","12351","18","MasterySection","6041","51","Ordering Integers","42999","2770","0","0","7562","29905","106021",,"0",,"2","2"
"21375340","262756","79021","34586","54095","1","1","1","4875","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","4875","30677",,"0","0",,"14","14"
"21375353","262756","79021","34583","54083","1","1","1","12781","tutor","algebra","5962","12351","16","MasterySection","5962","278","Addition and Subtraction Positive Decimals","42999","2770","0","0","12781","30677",,"-6.2","0",,"15","15"
"21375374","262768","79021","39622","66545","1","1","1","6422","tutor","choose_1","6040","12351","19","MasterySection","6040","49","Ordering Positive Decimals","42999","2770","0","0","6422","30642","105564",,"0",,"1","1"
"21375388","262767","79021","33690","52815","1","1","1","11766","tutor","algebra","5954","12351","20","MasterySection","5954","49","Ordering Positive Decimals","42999","2770","0","4","11766","29876",,"4.4","0",,"2","2"
"21375450","262785","79021","47223","85741","1","0","4","34031","tutor","algebra","6875","12351","21","MasterySection","6875","49","Ordering Positive Decimals","42999","2770","0","4","64375","46045",,"0.13","0",,"3","3"
"21375484","262785","79021","47225","85743","1","1","1","22047","tutor","algebra","6875","12351","21","MasterySection","6875","49","Ordering Positive Decimals","42999","2770","0","4","22047","46045",,"0.11","0",,"4","4"
"21375533","262785","79021","47200","85718","1","1","1","9094","tutor","algebra","6875","12351","21","MasterySection","6875","49","Ordering Positive Decimals","42999","2770","0","4","9094","46045",,"0.1","0",,"5","5"
"21375552","262785","79021","47219","85737","1","0","2","10812","tutor","algebra","6875","12351","21","MasterySection","6875","49","Ordering Positive Decimals","42999","2770","0","4","21031","46045",,"0.11","0",,"6","6"
"21375578","262785","79021","47213","85731","1","1","1","12422","tutor","algebra","6875","12351","21","MasterySection","6875","49","Ordering Positive Decimals","42999","2770","0","4","12422","46045",,"0.10467","0",,"7","7"
"21375589","262785","79021","47210","85728","1","1","1","24797","tutor","algebra","6875","12351","21","MasterySection","6875","49","Ordering Positive Decimals","42999","2770","0","4","24797","46045",,"0.1","0",,"8","8"
"21375600","262785","79021","47174","85692","1","1","1","10187","tutor","algebra","6875","12351","21","MasterySection","6875","49","Ordering Positive Decimals","42999","2770","0","4","10187","46045",,"0.14","0",,"9","9"
"21487690","262770","79021","39365","66288","1","1","1","6687","tutor","choose_1","6038","12351","22","MasterySection","6038","50","Ordering Fractions","42999","2770","0","5","6687","29899","104792",,"0",,"1","1"
"21487711","262769","79021","55624","97780","1","1","1","18421","tutor","algebra","5952","12351","23","MasterySection","5952","50","Ordering Fractions","42999","2770","0","0","18421","54699",,"2025-04-07","0",,"2","2"
"21487733","262766","79021","39068","65341","1","1","1","22922","tutor","choose_1","6039","12351","24","MasterySection","6039","49","Ordering Positive Decimals","42999","2770","0","0","22922","30494","102455",,"0",,"10","10"
"21593392","262788","79021","47562","86163","1","0","5","8938","tutor","algebra","7196","12351","25","MasterySection","6896","65","Least Common Multiple","42999","2770","5","5","39344","29957",,"1","0","1","1","1"
"21593468","262788","79021","47543","86144","1","0","2","11719","tutor","algebra","7196","12351","25","MasterySection","6896","65","Least Common Multiple","42999","2770","0","5","16485","29957",,"20","0",,"2","2"
"21593483","262788","79021","47567","86168","1","1","1","4375","tutor","algebra","7196","12351","25","MasterySection","6896","65","Least Common Multiple","42999","2770","0","5","4375","29957",,"9","0",,"3","3"
"21593492","262788","79021","47572","86173","1","1","1","6078","tutor","algebra","7196","12351","25","MasterySection","6896","65","Least Common Multiple","42999","2770","0","5","6078","29957",,"10","0",,"4","4"
"21593499","262788","79021","47538","86139","1","1","1","5797","tutor","algebra","7196","12351","25","MasterySection","6896","65","Least Common Multiple","42999","2770","0","5","5797","29957",,"6","0",,"5","5"
"21593519","262792","79021","47600","86201","1","0","1","21062","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","39781","46083",,,"1","1","6","6"
"21593579","262792","79021","47618","86219","1","0","1","13641","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","28329","46083",,,"1","1","7","7"
"21593622","262792","79021","47595","86196","1","0","1","4562","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","18484","46083",,,"1","1","8","8"
"21593665","262792","79021","47586","86187","1","0","1","5859","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","16953","46083",,,"1","1","9","9"
"21593701","262792","79021","47598","86199","1","0","1","6922","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","20531","46083",,,"1","1","10","10"
"21593724","262792","79021","47626","86227","1","0","1","5516","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","19813","46083",,,"1","1","11","11"
"21593737","262792","79021","47604","86205","1","0","1","6750","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","21703","46083",,,"1","1","12","12"
"21706060","262792","79021","47603","86204","1","0","3","8956","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","72475","46083",,,"1","1","13","13"
"21706194","262792","79021","47607","86208","1","0","2","34057","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","55689","46083",,"27","0","1","14","14"
"21706272","262792","79021","47631","86232","1","0","2","14911","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","32323","46083",,"?","0","1","15","15"
"21706315","262792","79021","47606","86207","1","0","2","48734","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","64582","46083",,"16","0","1","16","16"
"21706405","262792","79021","47592","86193","1","0","2","28430","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","44013","46083",,"9","0","1","17","17"
"21706482","262792","79021","47617","86218","1","0","2","5720","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","24148","46083",,"15","0","1","18","18"
"21706522","262792","79021","47609","86210","1","0","2","50562","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","3","4","95357","46083",,"12","0","0","19","19"
"21706716","262792","79021","47635","86236","1","0","3","25367","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","4","4","123850","46083",,"29","0","1","20","20"
"21707956","262757","79021","34376","53801","1","1","1","8346","tutor","algebra","5960","12351","27","MasterySection","5960","280","Addition and Subtraction Fractions","42999","2770","0","3","8346","30648",,"2025-10-13","0",,"1","1"
"21707974","262790","79021","47934","86537","1","1","1","128297","tutor","algebra","6910","12351","28","MasterySection","6910","280","Addition and Subtraction Fractions","42999","2770","0","4","128297","46266",,"7.61904761904762","0",,"2","2"
"21707994","262787","79021","48140","86745","1","0","3","77519","tutor","algebra","6913","12351","29","MasterySection","6913","280","Addition and Subtraction Fractions","42999","2770","4","4","246963","46268",,"9  1/28","0","1","3","3"
"21708070","262787","79021","48121","86726","1","0","2","137075","tutor","algebra","6913","12351","29","MasterySection","6913","280","Addition and Subtraction Fractions","42999","2770","4","4","156969","46268",,"5  9/14","0","1","4","4"
"21708117","262787","79021","48025","86630","1","0","3","128698","tutor","algebra","6913","12351","29","MasterySection","6913","280","Addition and Subtraction Fractions","42999","2770","4","4","169113","46267",,"36/63","0","1","5","5"
"21708169","262787","79021","47999","86604","1","0","2","56012","tutor","algebra","6913","12351","29","MasterySection","6913","280","Addition and Subtraction Fractions","42999","2770","0","4","241940","46267",,"1940-02-01","0",,"6","6"
"21708245","262787","79021","48044","86649","1","1","1","109663","tutor","algebra","6913","12351","29","MasterySection","6913","280","Addition and Subtraction Fractions","42999","2770","0","4","109663","46267",,"1956-02-01","0",,"7","7"
"21708262","262787","79021","47969","86574","1","1","1","103865","tutor","algebra","6913","12351","29","MasterySection","6913","280","Addition and Subtraction Fractions","42999","2770","0","4","103865","46267",,"14/40","0",,"8","8"
"21708275","262787","79021","48162","86767","1","1","1","26192","tutor","algebra","6913","12351","29","MasterySection","6913","280","Addition and Subtraction Fractions","42999","2770","0","4","26192","46268",,"5  3/20","0",,"9","9"
"21748329","262792","79021","47590","86191","1","0","2","14158","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","1","4","50591","46083",,"18","0","0","21","21"
"21748926","262792","79021","47621","86222","1","1","1","12699","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","0","4","12699","46083",,"14","0",,"22","22"
"21749034","262792","79021","47588","86189","1","1","1","11436","tutor","algebra","7179","12351","26","MasterySection","7179","65","Least Common Multiple","42999","2770","0","4","11436","46083",,"19","0",,"23","23"
"21750809","262789","79021","48192","86797","1","1","1","10974","tutor","algebra","6916","12351","30","MasterySection","6916","67","Multiplication Fractions","42999","2770","0","3","10974","29862",,"32/40","0",,"1","1"
"21752276","262773","79021","34604","54119","1","1","1","19084","tutor","algebra","5964","12351","31","MasterySection","5964","67","Multiplication Fractions","42999","2770","0","2","19084","29862",,"1942-12-01","0",,"2","2"
"21752367","262791","79021","48428","87041","1","0","2","17649","tutor","algebra","6917","12351","32","MasterySection","6917","61","Division Fractions","42999","2770","5","5","36911","29863",,"15/32","0","1","1","1"
"21752431","262791","79021","48479","87092","1","0","2","17545","tutor","algebra","6917","12351","32","MasterySection","6917","61","Division Fractions","42999","2770","4","4","33130","46275",,"9","0","1","2","2"
"21752514","262791","79021","48435","87048","1","0","2","29453","tutor","algebra","6917","12351","32","MasterySection","6917","61","Division Fractions","42999","2770","0","5","33750","29863",,"46/14","0",,"3","3"
"21784917","262791","79021","48430","87043","1","1","1","8531","tutor","algebra","6917","12351","32","MasterySection","6917","61","Division Fractions","42999","2770","0","5","8531","29863",,"20/18","0",,"4","4"
"21784924","262791","79021","48515","87128","1","0","2","46140","tutor","algebra","6917","12351","32","MasterySection","6917","61","Division Fractions","42999","2770","4","4","112234","46275",,"5","0","1","5","5"
"21785001","262791","79021","48516","87129","1","1","1","20547","tutor","algebra","6917","12351","32","MasterySection","6917","61","Division Fractions","42999","2770","0","4","20547","46275",,"1949-05-01","0",,"6","6"
